City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2021-01-19 02:14:05,62.456,-114.3525,1.4,85,90,11.5
68,Norman Wells,CA,2021-01-19 02:14:05,65.282,-126.8329,1.4,85,75,10.36
69,Taywarah,AF,2021-01-19 02:14:05,33.35,64.4167,24.87,91,15,2.28
70,Toktogul,KG,2021-01-19 02:14:05,41.8708,72.9402,36.39,63,95,2.93
71,Mananara,MG,2021-01-19 02:14:05,-16.1667,49.7667,74.59,92,100,6.87
72,Atuona,PF,2021-01-19 02:14:05,-9.8,-139.0333,78.58,74,89,18.59
73,Pulandian,CN,2021-01-19 02:11:11,39.3953,121.9669,23.0,68,75,11.18
74,Mahebourg,MU,2021-01-19 02:14:06,-20.4081,57.7,78.8,94,75,6.91
75,Tucuma,BR,2021-01-19 02:14:06,-0.1833,-50.05,76.96,90,100,6.33
76,Mandalgovi,MN,2021-01-19 02:14:06,45.7625,106.2708,7.54,87,89,3.53
77,Mayo,US,2021-01-19 02:14:06,38.8876,-76.5119,39.0,52,1,6.91
78,Natal,BR,2021-01-19 02:13:44,-5.795,-35.2094,80.6,74,40,9.22
79,Kapaa,US,2021-01-19 02:14:06,22.0752,-159.319,71.6,68,75,26.46
80,Flinders,AU,2021-01-19 02:14:06,-34.5833,150.8552,73.99,56,21,7.0
81,Dalby,AU,2021-01-19 02:14:06,-27.1833,151.2667,86.0,47,90,4.0
82,Olga,RU,2021-01-19 02:14:07,43.7444,135.2892,-2.38,73,0,17.09
83,Barrow,US,2021-01-19 02:14:07,71.2906,-156.7887,-2.2,78,90,17.27
84,Acarau,BR,2021-01-19 02:11:22,-2.8856,-40.12,79.3,80,100,11.36
85,Prado,BR,2021-01-19 02:14:07,-17.3411,-39.2208,76.19,82,0,8.77
86,Port Alfred,ZA,2021-01-19 02:14:07,-33.5906,26.891,66.0,90,0,18.16
87,Albany,US,2021-01-19 02:11:49,42.6001,-73.9662,30.0,67,3,1.01
88,Hervey Bay,AU,2021-01-19 02:14:07,-25.2986,152.8535,87.8,48,10,5.75
89,Meiganga,CM,2021-01-19 02:14:07,6.5167,14.3,63.3,29,7,6.46
90,Huarmey,PE,2021-01-19 02:14:07,-10.0681,-78.1522,70.47,83,100,7.11
91,Iqaluit,CA,2021-01-19 02:12:20,63.7506,-68.5145,21.2,86,90,17.27
92,Montoro,ES,2021-01-19 02:14:07,38.0241,-4.3834,43.0,93,0,1.32
93,Olafsvik,IS,2021-01-19 02:14:08,64.8945,-23.7142,31.91,90,9,13.58
94,Twentynine Palms,US,2021-01-19 02:14:08,34.1356,-116.0542,62.6,20,20,10.36
95,Tabou,CI,2021-01-19 02:14:08,4.423,-7.3528,78.64,81,27,6.44
96,Blatnica,BA,2021-01-19 02:14:08,44.4864,17.8233,19.4,93,0,2.3
97,Saint-Paul,RE,2021-01-19 02:14:08,-21.0096,55.2707,78.8,78,0,8.05
98,Balikpapan,ID,2021-01-19 02:10:52,-1.2675,116.8289,84.2,74,20,8.05
99,Puerto Ayora,EC,2021-01-19 02:12:25,-0.7393,-90.3518,73.0,98,62,5.37
100,Hilo,US,2021-01-19 02:09:27,19.7297,-155.09,71.6,83,90,8.05
101,Ponta Do Sol,PT,2021-01-19 02:14:08,32.6667,-17.1,55.99,67,81,1.99
102,Akyab,MM,2021-01-19 02:14:08,20.15,92.9,69.08,74,12,4.29
103,Bafoulabe,ML,2021-01-19 02:14:09,13.8065,-10.8321,69.4,21,0,5.23
104,Tuktoyaktuk,CA,2021-01-19 02:14:09,69.4541,-133.0374,-5.8,77,20,13.8
105,Bambous Virieux,MU,2021-01-19 02:14:09,-20.3428,57.7575,79.0,94,75,6.91
106,Vaini,TO,2021-01-19 02:14:09,-21.2,-175.2,86.0,74,75,9.22
107,Belvedere Marittimo,IT,2021-01-19 02:14:09,39.6179,15.8617,28.99,89,0,1.01
108,Touros,BR,2021-01-19 02:14:09,-5.1989,-35.4608,80.6,74,40,11.5
109,Manokwari,ID,2021-01-19 02:14:09,-0.8667,134.0833,82.6,71,90,3.83
110,Sinait,PH,2021-01-19 02:14:09,17.8664,120.4583,86.0,51,20,5.75
111,Bethel,US,2021-01-19 02:14:09,41.3712,-73.414,34.0,55,1,5.75
112,Samarai,PG,2021-01-19 02:14:10,-10.6167,150.6667,87.12,71,76,13.42
113,Mackay,AU,2021-01-19 02:14:10,-21.15,149.2,82.4,78,75,14.97
114,Suluq,LY,2021-01-19 02:14:10,31.6682,20.2521,54.14,75,12,10.54
115,Honningsvag,NO,2021-01-19 02:14:11,70.9821,25.9704,31.77,92,86,23.02
116,Thompson,CA,2021-01-19 02:14:11,55.7435,-97.8558,-9.4,84,75,2.3
117,Bengkulu,ID,2021-01-19 02:14:11,-3.8004,102.2655,80.51,67,95,3.71
118,Port Elizabeth,ZA,2021-01-19 02:14:11,-33.918,25.5701,64.4,94,0,4.61
119,Bredasdorp,ZA,2021-01-19 02:12:18,-34.5322,20.0403,64.4,88,89,3.44
120,Stege,DK,2021-01-19 02:14:12,54.987,12.2846,37.99,10,100,16.37
121,Kazachinskoye,RU,2021-01-19 02:14:12,57.6953,93.2761,7.66,93,100,9.04
122,Kavarna,BG,2021-01-19 02:14:12,43.4333,28.3333,19.99,86,40,9.6
123,Tuatapere,NZ,2021-01-19 02:12:46,-46.1333,167.6833,60.01,58,66,15.01
124,Kahului,US,2021-01-19 02:13:12,20.8947,-156.47,71.6,83,90,28.77
125,Marsala,IT,2021-01-19 02:14:13,37.7966,12.4352,48.0,100,0,5.75
126,Lata,PT,2021-01-19 02:14:13,40.1629,-8.3327,48.99,73,0,3.36
127,Presidencia Roque Saenz Pena,AR,2021-01-19 02:14:13,-26.7852,-60.4388,72.0,56,0,1.99
128,Luanda,AO,2021-01-19 02:14:13,-8.8368,13.2343,77.0,83,40,2.3
129,Lagoa,PT,2021-01-19 02:14:14,39.05,-27.9833,61.45,89,100,33.51
130,Kemijarvi,FI,2021-01-19 02:14:14,66.7131,27.4306,6.73,94,10,2.39
131,Eyrarbakki,IS,2021-01-19 02:14:14,63.863,-21.1481,32.0,69,20,27.63
132,Ribeira Grande,PT,2021-01-19 02:14:14,38.5167,-28.7,63.34,88,100,35.86
133,Abu Zabad,SD,2021-01-19 02:14:14,12.35,29.25,65.1,26,0,19.86
134,Tasiilaq,GL,2021-01-19 02:14:15,65.6145,-37.6368,19.4,45,25,2.3
135,Mount Isa,AU,2021-01-19 02:14:15,-20.7333,139.5,96.8,30,0,10.36
136,Mount Gambier,AU,2021-01-19 02:14:15,-37.8333,140.7667,66.2,45,0,14.97
137,Moose Factory,CA,2021-01-19 02:14:15,51.2585,-80.6094,-0.4,84,90,6.91
138,Tiksi,RU,2021-01-19 02:14:15,71.6872,128.8694,-30.48,85,100,4.76
139,Marang,MY,2021-01-19 02:14:15,5.2056,103.2059,78.8,73,40,4.61
140,Kupang,ID,2021-01-19 02:14:15,-10.1667,123.5833,77.0,94,90,11.5
141,Haines Junction,CA,2021-01-19 02:14:15,60.7522,-137.5108,33.8,100,100,12.66
142,Hofn,IS,2021-01-19 02:14:15,64.2539,-15.2082,35.96,79,100,25.21
143,Butaritari,KI,2021-01-19 02:14:16,3.0707,172.7902,81.34,81,17,17.98
144,Khatanga,RU,2021-01-19 02:12:45,71.9667,102.5,-34.29,81,28,13.29
145,Riosucio,CO,2021-01-19 02:14:16,5.4216,-75.7032,73.4,68,40,2.3
146,Quatre Cocos,MU,2021-01-19 02:14:16,-20.2078,57.7625,79.0,94,75,6.91
147,Chor,PK,2021-01-19 02:14:16,25.5167,69.7667,55.67,52,0,8.88
148,Manzhouli,CN,2021-01-19 02:14:16,49.6,117.4333,-10.66,87,13,3.42
149,Ilulissat,GL,2021-01-19 02:14:16,69.2167,-51.1,8.6,66,40,2.3
150,Mirnyy,RU,2021-01-19 02:14:16,62.5353,113.9611,-44.0,79,100,9.1
151,Ancud,CL,2021-01-19 02:14:16,-41.8697,-73.8203,61.0,94,0,8.05
152,Dwarka,IN,2021-01-19 02:14:16,22.2394,68.9678,66.97,52,0,11.52
153,Kieta,PG,2021-01-19 02:14:16,-6.2167,155.6333,86.05,60,87,4.03
154,Saint Anthony,US,2021-01-19 02:14:17,45.0205,-93.218,21.2,79,90,6.91
155,Rio Gallegos,AR,2021-01-19 02:14:17,-51.6226,-69.2181,57.2,54,40,5.75
156,Torbay,CA,2021-01-19 02:12:17,47.6666,-52.7314,37.0,93,90,11.5
157,Chara,RU,2021-01-19 02:14:17,56.9064,118.2631,-23.44,66,50,1.3
158,Sisimiut,GL,2021-01-19 02:14:17,66.9395,-53.6735,21.42,85,16,13.8
159,Herat,AF,2021-01-19 02:14:17,34.5,62.0,32.0,59,0,2.84
160,Vila Velha,BR,2021-01-19 02:12:45,-20.3297,-40.2925,77.0,83,20,4.61
161,Aviles,ES,2021-01-19 02:14:17,43.5547,-5.9248,46.0,81,0,4.61
