City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Hervey Bay,AU,80.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
547,Port Pirie,AU,87.8,clear sky,-33.1833,138.0167,John Pirie Motor Inn
552,Formosa,AR,77.0,clear sky,-26.1775,-58.1781,Asterión Hotel
553,San Policarpo,PH,84.0,scattered clouds,12.1791,125.5072,JM Lodge
554,Gilbues,BR,74.08,broken clouds,-9.8317,-45.3439,Hotel Camapuã
556,Vryburg,ZA,73.94,broken clouds,-26.9566,24.7284,Times Premier Lodge
561,Santa Cruz,BO,73.4,broken clouds,-17.8,-63.1667,Hotel Cortez
562,Corrente,BR,72.14,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
570,Kununurra,AU,77.0,broken clouds,-15.7667,128.7333,Hotel Kununurra
571,Isangel,VU,82.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
578,Yanam,IN,78.8,mist,16.7333,82.2167,The Regency Hotel
579,Santa Rosa,PH,87.8,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
586,Quatre Cocos,MU,82.99,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
593,La Asuncion,VE,75.04,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
595,Buala,SB,84.11,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
597,Cururupu,BR,75.06,moderate rain,-1.8283,-44.8683,Pousada Través'cia
599,Eyl,SO,74.55,scattered clouds,7.9803,49.8164,Amiin Hotel
604,Lucelia,BR,73.08,overcast clouds,-21.7203,-51.0189,Casa da nathy
612,Talara,PE,72.84,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
617,Auki,SB,82.9,light rain,-8.7676,160.7034,Auki Motel
621,Mercedes,AR,73.99,clear sky,-34.6515,-59.4307,Posada del Inti Centro
625,Tuburan,PH,86.0,broken clouds,6.6439,122.2736,GT Site
631,Kavaratti,IN,81.84,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
640,Totness,SR,76.51,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
647,Denpasar,ID,84.2,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
648,Basco,PH,76.62,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
650,Nata,PA,75.99,broken clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
654,Itainopolis,BR,72.77,light rain,-7.4469,-41.4783,Pousada Posto Club Frank Aguiar
660,Sechura,PE,74.34,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
661,Isla Mujeres,MX,75.2,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
662,Chilca,PE,73.0,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
664,Bella Union,UY,72.86,broken clouds,-30.2752,-57.6007,Hotel Oriente
669,Sao Jose De Ribamar,BR,75.2,clear sky,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
671,Qinzhou,CN,73.76,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
673,Prado,BR,74.5,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
680,Kailua,US,78.8,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
688,Mareeba,AU,87.8,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
690,Axim,GH,77.85,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
691,Alad,PH,80.65,overcast clouds,12.6168,122.2475,Sunset Cove Beach & Dive Resort
