City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Edd,ER,13.9297,41.6925,72.77,57,0,2.64,clear sky
81,Pemberton,CA,50.3164,-122.8027,35.01,83,100,0.83,overcast clouds
82,Hofn,IS,64.2539,-15.2082,32.16,90,80,25.88,broken clouds
83,Liberty,US,31.8335,-81.5004,52.0,51,100,3.0,overcast clouds
84,Bukachacha,RU,52.9833,116.9167,-4.47,78,33,0.4,scattered clouds
85,Iranshahr,IR,27.2025,60.6848,51.8,32,0,6.91,clear sky
86,San Cristobal,VE,7.7669,-72.225,64.47,84,41,1.61,scattered clouds
87,Aklavik,CA,68.2191,-135.0107,-2.2,78,96,1.14,overcast clouds
88,Namatanai,PG,-3.6667,152.4333,85.03,62,80,9.35,broken clouds
89,Brigantine,US,39.4101,-74.3646,30.99,50,1,6.91,clear sky
90,Khatanga,RU,71.9667,102.5,-29.92,85,100,4.83,overcast clouds
91,Hommelvik,NO,63.4108,10.7942,33.01,64,75,24.16,light snow
92,Baykit,RU,61.67,96.37,-31.02,78,94,1.7,overcast clouds
93,Kapaa,US,22.0752,-159.319,75.2,73,40,13.8,scattered clouds
94,Ipixuna,BR,-1.7625,-48.8043,75.2,88,75,4.61,broken clouds
95,Pahalgam,IN,34.0333,75.3333,18.72,69,1,15.21,clear sky
96,Port Alfred,ZA,-33.5906,26.891,62.01,90,4,1.99,clear sky
97,Carnarvon,AU,-24.8667,113.6333,82.4,69,0,21.85,clear sky
98,Aberdeen,GB,57.1437,-2.0981,36.0,100,75,14.97,moderate rain
99,Faanui,PF,-16.4833,-151.75,81.39,76,14,14.88,few clouds
100,Tiksi,RU,71.6872,128.8694,-28.59,86,100,5.3,overcast clouds
101,Sibolga,ID,1.7427,98.7792,84.42,62,93,2.46,overcast clouds
102,Zaraza,VE,9.3503,-65.3245,73.74,82,99,7.4,overcast clouds
103,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,100,75,14.97,mist
104,Port Hawkesbury,CA,45.6169,-61.3485,21.2,53,1,10.36,clear sky
105,Havelock,US,34.8791,-76.9013,37.99,86,1,4.65,clear sky
106,Ancud,CL,-41.8697,-73.8203,61.0,88,0,1.72,clear sky
107,Leshukonskoye,RU,64.8989,45.7622,-18.22,88,99,4.56,overcast clouds
108,Saint-Philippe,RE,-21.3585,55.7679,84.2,65,0,4.61,clear sky
109,Hami,CN,42.8,93.45,24.73,68,11,5.75,few clouds
110,Longyearbyen,SJ,78.2186,15.6401,12.2,67,20,21.85,few clouds
111,Sitka,US,57.0531,-135.33,37.4,93,90,3.44,mist
112,Ponta Do Sol,PT,32.6667,-17.1,62.01,82,20,4.61,few clouds
113,Samarai,PG,-10.6167,150.6667,86.61,72,100,11.88,light rain
114,Kaitangata,NZ,-46.2817,169.8464,54.0,75,98,15.01,overcast clouds
115,Marshall,US,34.3834,-86.3333,43.0,65,1,3.44,clear sky
116,Airai,TL,-8.9266,125.4092,73.9,81,24,3.91,few clouds
117,Lompoc,US,34.6391,-120.4579,64.4,62,0,3.18,clear sky
118,Pisco,PE,-13.7,-76.2167,69.8,78,0,8.05,clear sky
119,Tebingtinggi,ID,3.3285,99.1625,84.2,74,40,6.91,scattered clouds
120,Oskarshamn,SE,57.2645,16.4484,39.99,96,100,1.99,overcast clouds
121,Abrau-Dyurso,RU,44.69,37.59,32.0,69,91,6.71,light rain
122,Lincoln Village,US,39.9548,-83.1307,28.4,74,1,9.22,clear sky
123,Ghanzi,BW,-21.5667,21.7833,70.88,72,96,7.7,overcast clouds
124,Padang,ID,-0.9492,100.3543,87.8,62,20,4.61,few clouds
125,Iqaluit,CA,63.7506,-68.5145,5.0,78,75,23.02,snow
126,Tura,IN,25.5198,90.2201,64.09,75,1,3.0,clear sky
127,Bhag,PK,29.0415,67.8239,60.39,32,0,2.08,clear sky
128,Harnosand,SE,62.6323,17.9379,30.99,93,90,11.5,light snow
129,Asosa,ET,10.0667,34.5333,59.77,49,0,6.22,clear sky
130,Nurota,UZ,40.5614,65.6886,35.6,60,0,9.22,clear sky
131,Saint George,US,37.1041,-113.5841,53.6,37,75,4.61,broken clouds
132,Castro,BR,-24.7911,-50.0119,63.21,97,97,6.89,overcast clouds
133,Santa Fe,AR,-31.6333,-60.7,79.0,52,0,1.99,clear sky
134,Banda Aceh,ID,5.5577,95.3222,81.1,75,80,11.92,broken clouds
135,Toora-Khem,RU,52.4675,96.11,-7.94,87,78,1.41,broken clouds
136,Dajal,PK,29.5577,70.3762,55.72,36,0,3.11,clear sky
137,Sinjar,IQ,36.3209,41.8754,32.79,84,0,10.87,clear sky
